Time,LM_1_Range,LM_1_Bearing,LM_2_Range,LM_2_Bearing,LM_3_Range,LM_3_Bearing,LM_4_Range,LM_4_Bearing
25.565999872,nan,nan,nan,nan,0.5821608758,-4.5651726057,2.4473325836,0.1373275594
25.600000768,nan,nan,3.3315665853,-4.7676339791,0.0170856715,-4.5680490582,2.3861697528,0.0590740884
25.633000192,nan,nan,nan,nan,0.3406233474,-4.6829645056,2.6488501634,-0.1173875487
25.665999616,nan,nan,3.360679437,-4.7673020833,0.0242996484,-4.4693957094,2.5551056896,0.02766985
25.69899904,nan,nan,3.370603567,-4.9101874191,0.3765842877,-4.5255543286,2.1242263077,-0.2372529216
25.732999936,nan,nan,3.4084341963,-4.6420140413,0.324600421,-4.595223657,2.0101295196,0.0253373478
25.764999936,nan,nan,3.3619097694,-4.7583570947,0.8585322926,-4.5527616563,2.345057449,-0.0714027561
25.799000832,nan,nan,3.0222458323,-4.8388290374,0.6376613834,-4.3382956893,2.352934506,-0.0602098504
25.836,nan,nan,3.0061390415,-4.8293608563,0.5099005087,-4.2807882039,2.1308937859,-0.0582087679
25.865999104,nan,nan,nan,nan,0.1752265964,-4.3638798925,2.6392186515,0.143246965
25.9,nan,nan,3.0222945289,-4.9641625317,0.3482687024,-4.3961843482,2.1831602995,-0.2207898144
25.932999424,nan,nan,3.2255605915,-4.7355332284,0.1226080856,-4.3317614622,2.5978373048,0.0010035028
25.966000896,nan,nan,3.0098279441,-4.8921084452,0.1723754026,-4.332714445,2.5088386023,-0.128320881
25.999999744,nan,nan,3.365715505,-4.8650948578,0.3702282355,-4.2874374458,2.1207992303,-0.0250201027
26.032999168,nan,nan,3.1450040058,-4.7171111241,0.1283677222,-4.339382213,2.4877631683,0.0238944107
26.06600064,nan,nan,3.3944134737,-4.9398865193,0.0911025832,-4.3467223223,2.380354509,-0.0099406185
26.099000064,nan,nan,3.1944640636,-4.9989345516,0.3305135073,-4.174655416,2.4020106769,-0.1321611676
26.13300096,nan,nan,3.1323976353,-4.9105618501,0.3007143841,-4.2770084433,2.289617185,-0.2297209936
26.16500096,nan,nan,3.4530534933,-4.77998443,-0.0192270719,-4.3212174336,2.4660350864,0.0181876034
26.199999232,nan,nan,3.1954895527,-4.7737085211,0.4624480816,-4.1681410959,2.1362520791,-0.1552254836
26.233000704,nan,nan,3.3655856612,-5.039708719,0.4142296238,-4.0893760538,2.466156824,0.1187066172
26.262999808,nan,nan,3.1890975311,-4.8933214092,0.4764809737,-4.0382575636,2.420952311,-0.2625940531
26.300001024,nan,nan,3.0612720061,-4.8457345734,0.3825966212,-4.2322689195,2.3075522417,-0.0514417248
26.333999872,nan,nan,3.3566620965,-4.7633318416,-0.025511925,-4.2356423365,2.1886534083,-0.2005901333
26.365999872,nan,nan,3.2391372107,-4.6794401281,0.1138335246,-4.202046268,1.9311605022,-0.2802813443
26.400000768,nan,nan,3.0073810372,-4.8411367157,0.161771837,-4.1568240736,2.2919316679,-0.1543403764
26.433000192,nan,nan,3.4233447013,-4.8938386046,0.4380748855,-4.0914459263,2.3798743192,-0.2375655964
26.465999616,nan,nan,3.4586036175,-4.9937384985,0.7044714849,-4.0789550961,2.4193604732,-0.0643084289
